Kennziffer;Raumeinheit;Aggregat;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss
"08437";"Sigmaringen";"Kreise";"66,90";"68,75";"68,74";"68,06"
"09161";"Ingolstadt";"Kreise";"56,15";"55,03";"53,17";"51,26"
"09162";"München, Landeshauptstadt";"Kreise";"41,50";"39,50";"37,28";"35,20"
"09163";"Rosenheim, Stadt";"Kreise";"58,72";"58,70";"56,70";"55,73"
"09171";"Altötting";"Kreise";"69,89";"71,41";"71,10";"70,05"
"09172";"Berchtesgadener Land";"Kreise";"69,78";"70,38";"70,32";"69,02"
"09173";"Bad Tölz-Wolfratshausen";"Kreise";"63,69";"64,13";"63,11";"61,86"
"09174";"Dachau";"Kreise";"60,21";"60,14";"58,47";"57,38"
"09175";"Ebersberg";"Kreise";"58,67";"57,98";"55,96";"54,50"
"09176";"Eichstätt";"Kreise";"69,04";"68,55";"67,81";"66,62"
"09177";"Erding";"Kreise";"67,28";"67,51";"66,03";"64,92"
"09178";"Freising";"Kreise";"59,41";"58,78";"56,96";"55,28"
"09179";"Fürstenfeldbruck";"Kreise";"59,47";"58,89";"56,23";"54,57"
"09180";"Garmisch-Partenkirchen";"Kreise";"67,04";"68,00";"66,75";"65,16"
"09181";"Landsberg am Lech";"Kreise";"64,90";"65,13";"63,64";"62,32"
"09182";"Miesbach";"Kreise";"63,72";"63,70";"61,91";"60,28"
"09183";"Mühldorf a.Inn";"Kreise";"70,22";"69,87";"69,44";"68,19"
"09184";"München";"Kreise";"51,83";"50,41";"47,37";"45,42"
"09185";"Neuburg-Schrobenhausen";"Kreise";"70,58";"70,33";"70,42";"69,53"
"09186";"Pfaffenhofen a.d.Ilm";"Kreise";"67,92";"67,30";"66,18";"64,88"
"09187";"Rosenheim";"Kreise";"66,98";"67,77";"66,98";"66,02"
"09188";"Starnberg";"Kreise";"52,78";"51,73";"48,86";"46,96"
"09189";"Traunstein";"Kreise";"70,44";"70,80";"70,24";"69,36"
"09190";"Weilheim-Schongau";"Kreise";"67,88";"69,07";"67,82";"66,90"
"09261";"Landshut, Stadt";"Kreise";"58,15";"57,89";"56,10";"53,26"
