Kennziffer;Raumeinheit;Aggregat;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo
;;;1998;2002;2005;2009;2013;2017;2021;2023
"12062177";"Gorden-Staupitz";"Gemeinden";"-414,47";"-613,73";"-961,76";"-862,16";"-862,16";;"-1.333,33";"-1.528,57"
"12062196";"Gröden";"Gemeinden";"-78,63";"-129,07";"-171,50";"-149,40";"-113,03";"-123,25";"-110,26";"-100,35"
"12062208";"Großthiemig";"Gemeinden";"-166,84";"-285,12";"-400,00";"-168,28";"-135,47";"-115,91";"-96,31";"-112,56"
"12062219";"Heideland";"Gemeinden";"-4,23";"-133,33";"-140,74";"-143,18";"-151,65";"-153,93";"-132,18";"-125,00"
"12062224";"Herzberg (Elster), Stadt";"Gemeinden";"-12,13";"23,13";"25,72";"29,01";"36,90";"45,72";"45,67";"45,73"
"12062232";"Hirschfeld";"Gemeinden";"-106,27";"-89,90";"-109,56";"-55,78";"-100,35";"-138,86";"-140,36";"-151,21"
"12062237";"Hohenbucko";"Gemeinden";"-7,59";"12,46";"-6,61";"-196,51";"-175,56";"-145,56";"-207,04";"-161,45"
"12062240";"Hohenleipisch";"Gemeinden";"-320,62";"-357,58";"-369,81";"-323,37";"-272,64";"-335,91";"-353,18";"-426,80"
"12062282";"Kremitzaue";"Gemeinden";"-290,53";"-286,52";"-340,85";"-340,26";"-313,75";"-397,10";"-484,21";"-315,85"
"12062289";"Lebusa";"Gemeinden";"-99,47";"-93,71";"-138,66";"-161,98";"-120,69";"-97,04";"-131,94";"-133,79"
"12062293";"Lichterfeld-Schacksdorf";"Gemeinden";"-169,33";"-277,57";"-236,21";"-120,33";"-141,48";"-114,81";"-86,43";"-104,35"
"12062333";"Massen-Niederlausitz";"Gemeinden";"44,04";"45,04";"36,89";"45,85";"53,45";"53,96";"58,13";"59,46"
"12062336";"Merzdorf";"Gemeinden";"-244,95";"-320,24";"-483,33";"-183,20";"-280,90";"-455,00";"-405,80";"-392,65"
"12062341";"Mühlberg/Elbe, Stadt";"Gemeinden";"-12,68";"-29,19";"-62,78";"-152,80";"-141,46";"-109,60";"-98,41";"-106,97"
"12062372";"Plessa";"Gemeinden";"-114,90";"-176,84";"-161,28";"-205,35";"-173,91";"-192,31";"-188,47";"-171,54"
"12062410";"Röderland";"Gemeinden";"-93,81";"-107,76";"-111,44";"-84,76";"-84,22";"-100,36";"-79,82";"-68,82"
"12062417";"Rückersdorf";"Gemeinden";"-113,25";"-162,05";"-124,69";"-130,74";"-76,90";"-84,33";"-102,87";"-117,58"
"12062425";"Sallgast";"Gemeinden";"-107,33";"-232,50";"-195,08";"-310,00";"-294,33";"-440,74";"-543,16";"-515,62"
"12062440";"Schilda";"Gemeinden";"-1.392,86";"-1.636,36";"-1.425,00";"-1.323,08";"-927,78";;"-2.011,11";"-1.966,67"
"12062445";"Schlieben, Stadt";"Gemeinden";"-12,84";"-48,52";"-56,48";"-62,34";"-63,05";"-91,38";"-82,10";"-71,73"
"12062453";"Schönborn";"Gemeinden";"-78,12";"-221,54";"-182,43";"-250,86";"-281,55";"-203,74";"-173,16";"-183,80"
"12062461";"Schönewalde, Stadt";"Gemeinden";"-69,19";"-112,30";"-110,18";"-142,05";"-47,60";"-41,10";"-112,80";"-118,83"
"12062464";"Schraden";"Gemeinden";"-91,07";"-94,64";"-77,42";"-42,50";"-36,81";"-52,55";"-88,18";"-114,43"
"12062469";"Sonnewalde, Stadt";"Gemeinden";"-24,55";"-35,16";"-35,19";"-62,20";"-60,24";"-62,78";"-50,45";"-43,82"
"12062492";"Tröbitz";"Gemeinden";"-62,87";"-12,02";"-7,66";"35,09";"15,77";"7,19";"17,32";"13,44"
"12062500";"Uebigau-Wahrenbrück, Stadt";"Gemeinden";"-112,05";"-86,29";"-76,73";"-83,33";"-53,70";"-43,27";"-39,63";"-31,86"
"12063036";"Brieselang";"Gemeinden";"-18,10";"-66,16";"-91,82";"-100,29";"-49,61";"-12,81";"-64,35";"-97,47"
"12063056";"Dallgow-Döberitz";"Gemeinden";"-23,72";"-36,43";"-63,94";"-92,38";"-86,84";"-114,98";"-86,13";"-94,66"
"12063080";"Falkensee, Stadt";"Gemeinden";"-55,65";"-88,84";"-109,58";"-103,55";"-100,53";"-111,07";"-105,00";"-112,75"
"12063088";"Friesack, Stadt";"Gemeinden";"-4,40";"6,21";"-83,72";"-11,38";"6,60";"-46,22";"-49,92";"-57,28"
"12063094";"Gollenberg";"Gemeinden";"-52,21";"-87,93";"-179,63";"-180,70";"-218,18";;"-150,85";"-124,29"
"12063112";"Großderschau";"Gemeinden";"-206,78";"-119,48";"-153,03";"-220,00";"-157,75";"-171,43";"-187,69";"-189,06"
"12063134";"Havelaue";"Gemeinden";"-10,76";"-103,87";"-80,92";"-100,00";"-97,67";"-108,70";"-128,77";"-283,33"
"12063142";"Wiesenaue";"Gemeinden";"-333,93";"-597,14";"-980,95";"-886,67";"-921,88";"-813,89";"-967,74";"-1.138,46"
"12063148";"Ketzin/Havel, Stadt";"Gemeinden";"-45,90";"-68,98";"-98,26";"-89,26";"-93,55";"-85,86";"-63,93";"-67,48"
"12063161";"Kleßen-Görne";"Gemeinden";"-52,83";"-274,36";"-2.240,00";"-396,43";"-222,73";;;
"12063165";"Kotzen";"Gemeinden";"-157,50";"-713,64";"-2.500,00";"-1.177,78";"-1.200,00";"-1.221,05";;
"12063186";"Märkisch Luch";"Gemeinden";"-77,92";"-175,95";"-205,30";"-349,52";"-417,71";"-406,86";"-377,68";"-474,74"
"12063189";"Milower Land";"Gemeinden";"-212,45";"-284,31";"-308,33";"-273,66";"-230,36";"-223,19";"-210,95";"-247,49"
"12063202";"Mühlenberge";"Gemeinden";"-212,36";"-259,21";"-194,67";"-235,80";"-302,90";"-270,27";"-198,94";"-280,00"
"12063208";"Nauen, Stadt";"Gemeinden";"-4,04";"-2,03";"-8,46";"-8,64";"-5,42";"7,35";"7,28";"3,26"
"12063212";"Nennhausen";"Gemeinden";"-120,97";"-132,01";"-158,47";"-174,10";"-150,35";"-125,30";"-133,54";"-131,15"
"12063228";"Paulinenaue";"Gemeinden";"-79,08";"-60,00";"-168,86";"-179,29";"-262,02";"-363,30";"-391,07";"-269,93"
"12063240";"Pessin";"Gemeinden";"-167,33";"-176,92";"-205,56";"-286,76";"-275,00";"-283,54";"-266,67";"-226,37"
"12063244";"Premnitz, Stadt";"Gemeinden";"-12,70";"-33,11";"-49,66";"-35,84";"-39,94";"-50,59";"-54,75";"-58,02"
"12063252";"Rathenow, Stadt";"Gemeinden";"-20,30";"9,42";"14,27";"10,87";"10,92";"-0,90";"-0,39";"-2,52"
"12063256";"Retzow";"Gemeinden";"-272,58";"-262,90";"-147,50";"-172,15";"-98,13";"-127,27";"-126,80";"-174,03"
"12063260";"Rhinow, Stadt";"Gemeinden";"-8,64";"-47,72";"-41,87";"-52,65";"-43,49";"-36,80";"-46,86";"-46,55"
"12063273";"Schönwalde-Glien";"Gemeinden";"-103,10";"-96,68";"-130,90";"-122,46";"-136,51";"-138,72";"-99,61";"-137,01"
"12063274";"Seeblick";"Gemeinden";"0,00";"-297,10";"-284,06";"-210,11";"-238,79";"-169,93";"-186,40";"-214,68"
"12063293";"Stechow-Ferchesar";"Gemeinden";"-87,07";"-226,80";"-268,60";"-591,84";"-350,00";"-160,00";"-156,74";"-264,29"
"12063357";"Wustermark";"Gemeinden";"-69,82";"-27,73";"-20,89";"-3,05";"5,82";"1,46";"8,43";"7,47"
"12064009";"Alt Tucheband";"Gemeinden";"-290,00";"-1.368,18";"-809,68";"-727,78";"-319,70";"-264,56";"-317,39";"-307,89"
"12064029";"Altlandsberg, Stadt";"Gemeinden";"7,43";"-31,84";"-41,51";"-66,43";"-62,21";"-74,20";"-92,15";"-78,96"
"12064044";"Bad Freienwalde (Oder), Stadt";"Gemeinden";"-19,36";"-16,36";"-31,81";"-44,75";"-23,07";"-15,30";"-20,16";"-19,74"
"12064053";"Beiersdorf-Freudenberg";"Gemeinden";"-330,77";"-458,33";"-270,00";"16,74";"-292,86";"-602,86";"-928,00";"-1.100,00"
"12064057";"Bleyen-Genschmar";"Gemeinden";"-252,94";"-403,03";"-953,85";"-1.775,00";"-1.270,00";;"-1.000,00";"-1.655,56"
"12064061";"Bliesdorf";"Gemeinden";"-43,87";"-180,36";"-364,06";"-111,73";"-76,68";"-369,01";"-473,13";"-455,84"
"12064084";"Buckow (Märkische Schweiz), Stadt";"Gemeinden";"-23,41";"-6,38";"7,95";"3,33";"11,27";"15,48";"20,57";"22,80"
"12064125";"Falkenberg";"Gemeinden";"-109,95";"-199,21";"-207,39";"-181,95";"-245,87";"-282,82";"-383,16";"-403,21"
"12064128";"Falkenhagen (Mark)";"Gemeinden";"-49,01";"-105,80";"-151,46";"-216,67";"-200,00";"-256,25";"-272,60";"-270,13"
"12064130";"Fichtenhöhe";"Gemeinden";"-238,78";"-315,00";"-714,29";"-1.563,64";"-827,27";"-737,50";"-632,14";"-617,24"
"12064136";"Fredersdorf-Vogelsdorf";"Gemeinden";"-23,58";"-59,33";"-80,93";"-83,98";"-106,58";"-102,12";"-100,47";"-88,17"
"12064153";"Garzau-Garzin";"Gemeinden";"-250,00";"-124,36";"-420,00";"-468,75";"-842,86";"-435,14";"-335,56";"-348,89"
"12064172";"Golzow";"Gemeinden";"-2,85";"-37,69";"-36,55";"-40,17";"-34,68";"-110,88";"-106,71";"-86,90"
"12064190";"Gusow-Platkow";"Gemeinden";"-212,88";"-384,54";"-341,24";"-311,93";"-281,98";"-455,95";"-388,35";"-467,37"
"12064205";"Heckelberg-Brunow";"Gemeinden";"-67,07";"-62,07";"-256,25";"-342,86";"-324,24";"-312,12";"-318,31";"-320,27"
"12064222";"Höhenland";"Gemeinden";"-135,46";"-180,92";"-211,82";"-243,93";"-171,05";"-190,91";"-172,26";"-392,13"
"12064227";"Hoppegarten";"Gemeinden";"26,92";"4,79";"-7,18";"-25,12";"-0,67";"8,03";"14,59";"22,28"
"12064266";"Küstriner Vorland";"Gemeinden";"-79,97";"-77,47";"-67,51";"-89,98";"-145,94";"-142,97";"-188,05";"-226,37"
"12064268";"Lebus, Stadt";"Gemeinden";"-75,82";"-161,95";"-200,00";"-182,96";"-156,22";"-138,67";"-117,65";"-129,59"
"12064274";"Letschin";"Gemeinden";"-46,75";"-81,70";"-70,81";"-105,65";"-99,40";"-75,40";"-76,68";"-71,01"
"12064288";"Lietzen";"Gemeinden";"-44,38";"-38,89";"-78,57";"-37,16";"-215,48";"-209,38";"-236,05";"-272,50"
"12064290";"Lindendorf";"Gemeinden";"-87,28";"-115,45";"-165,41";"-207,69";"-212,57";"-187,96";"-181,41";"-179,71"
"12064303";"Märkische Höhe";"Gemeinden";"-264,29";"-365,31";"-312,77";"-361,36";"-331,91";"-332,00";"-344,64";"-535,00"
"12064317";"Müncheberg, Stadt";"Gemeinden";"-8,67";"-18,06";"-37,46";"-42,86";"-33,00";"-43,12";"-36,44";"-48,83"
"12064336";"Neuenhagen bei Berlin";"Gemeinden";"-20,38";"-100,21";"-104,28";"-101,31";"-92,36";"-80,25";"-76,92";"-87,74"
"12064340";"Neuhardenberg";"Gemeinden";"-76,56";"-78,17";"-49,13";"-52,91";"-44,61";"-63,65";"-69,64";"-105,63"
"12064349";"Neulewin";"Gemeinden";"-95,15";"-101,16";"-119,59";"-172,03";"-166,40";"-206,31";"-222,12";"-268,09"
"12064365";"Neutrebbin";"Gemeinden";"-39,00";"-22,27";"-153,98";"-58,28";"-179,31";"-191,07";"-219,63";"-228,03"
"12064370";"Oberbarnim";"Gemeinden";"-221,08";"-334,43";"-355,77";"-413,33";"-357,63";"-348,03";"-439,86";"-371,58"
"12064371";"Oderaue";"Gemeinden";"-163,52";"-188,18";"-231,10";"-254,17";"-207,54";"-218,95";"-262,79";"-275,45"
"12064380";"Petershagen/Eggersdorf";"Gemeinden";"-86,94";"-197,18";"-277,67";"-308,81";"-282,66";"-265,19";"-255,97";"-292,75"
"12064388";"Podelzig";"Gemeinden";"-308,64";"-619,57";"-650,00";"-536,84";"-402,86";"-325,58";"-247,71";"-282,00"
"12064393";"Prötzel";"Gemeinden";"-188,65";"-293,07";"-296,39";"-258,51";"-210,00";"-290,82";"-327,84";"-337,76"
"12064408";"Rehfelde";"Gemeinden";"-77,40";"-104,35";"-155,30";"-199,32";"-224,17";"-278,81";"-219,73";"-255,74"
"12064417";"Reichenow-Möglin";"Gemeinden";"-436,84";"-621,43";"-600,00";"-666,67";"-1.105,88";"-575,00";"-411,11";"-426,67"
"12064420";"Reitwein";"Gemeinden";"-357,89";"-608,33";"-540,00";"-1.550,00";"-1.408,33";"-1.286,67";"-795,45";"-672,00"
"12064428";"Rüdersdorf bei Berlin";"Gemeinden";"5,89";"-7,04";"-8,66";"-5,54";"-1,82";"-10,48";"-4,36";"-7,49"
"12064448";"Seelow, Stadt";"Gemeinden";"42,90";"41,57";"44,81";"39,10";"36,84";"40,58";"41,08";"42,99"
"12064472";"Strausberg, Stadt";"Gemeinden";"-15,79";"-9,64";"-13,84";"-17,52";"-9,35";"-13,47";"-16,04";"-17,60"
"12064480";"Treplin";"Gemeinden";"-305,41";"-351,35";"-533,33";"-295,24";"-300,00";"-183,67";"-208,89";"-228,57"
"12064482";"Vierlinden";"Gemeinden";"-6,09";"-135,07";"-66,79";"-62,31";"-76,49";"-37,24";"-61,18";"-42,25"
"12064484";"Waldsieversdorf";"Gemeinden";"7,88";"-21,11";"-35,55";"-47,12";"-63,21";"-73,18";"-113,84";"-135,62"
"12064512";"Wriezen, Stadt";"Gemeinden";"-4,44";"-21,63";"-38,09";"-53,53";"-70,99";"-69,52";"-75,57";"-79,79"
"12064538";"Zechin";"Gemeinden";"-285,71";"-345,76";"-191,04";"-258,33";"-272,88";;"-450,00";"-512,50"
"12064539";"Zeschdorf";"Gemeinden";"-253,38";"-319,33";"-296,64";"-313,68";"-227,40";"-279,69";"-204,43";"-218,12"
"12065036";"Birkenwerder";"Gemeinden";"10,68";"-0,93";"-8,86";"-14,57";"-29,66";"-49,58";"-57,55";"-68,65"
"12065084";"Fürstenberg/Havel, Stadt";"Gemeinden";"-59,81";"-71,92";"-79,22";"-83,80";"-86,53";"-74,05";"-75,51";"-66,45"
"12065096";"Glienicke/Nordbahn";"Gemeinden";"-221,42";"-200,20";"-291,14";"-284,33";"-191,74";"-287,65";"-305,82";"-284,82"
"12065100";"Gransee, Stadt";"Gemeinden";"-23,16";"-1,55";"-8,53";"-15,91";"-3,70";"-4,15";"-7,90";"-15,99"
"12065117";"Großwoltersdorf";"Gemeinden";"-115,54";"-157,72";"-294,12";"-280,00";"-195,05";"-106,41";"-84,62";"-88,82"
"12065136";"Hennigsdorf, Stadt";"Gemeinden";"5,86";"4,97";"2,56";"6,19";"8,79";"-1,13";"2,89";"0,01"
"12065144";"Hohen Neuendorf, Stadt";"Gemeinden";"-103,74";"-143,62";"-155,81";"-185,19";"-172,98";"-161,81";"-156,44";"-173,49"
"12065165";"Kremmen, Stadt";"Gemeinden";"-30,10";"-48,11";"-45,17";"-48,67";"-50,91";"-52,95";"-41,64";"-40,90"
"12065180";"Leegebruch";"Gemeinden";"-193,24";"-267,76";"-282,30";"-257,99";"-278,16";"-268,59";"-279,12";"-278,45"
"12065193";"Liebenwalde, Stadt";"Gemeinden";"-60,54";"-109,12";"-137,94";"-143,22";"-121,00";"-130,30";"-133,29";"-148,79"
"12065198";"Löwenberger Land";"Gemeinden";"-47,90";"-88,63";"-82,67";"-83,67";"-81,96";"-69,25";"-64,45";"-72,68"
"12065225";"Mühlenbecker Land";"Gemeinden";"-112,33";"-182,11";"-227,29";"-250,48";"-187,16";"-124,16";"-133,14";"-130,33"
"12065251";"Oberkrämer";"Gemeinden";"-97,12";"-81,96";"-87,96";"-76,92";"-95,16";"-95,07";"-98,85";"-89,31"
"12065256";"Oranienburg, Stadt";"Gemeinden";"-3,28";"-8,81";"-9,73";"-8,04";"-4,25";"-7,43";"-6,43";"-8,82"
"12065276";"Schönermark";"Gemeinden";"-70,59";"-136,59";"-160,61";"-174,60";"-220,00";"-188,89";"-135,00";"-105,56"
"12065301";"Sonnenberg";"Gemeinden";"-462,79";"-563,41";"-580,00";"-1.142,31";"-733,33";"-544,07";"-684,31";"-488,06"
"12065310";"Stechlin";"Gemeinden";"-173,29";"-225,58";"-186,03";"-166,23";"-199,29";"-177,48";"-166,03";"-180,99"
"12065332";"Velten, Stadt";"Gemeinden";"-14,00";"-2,54";"6,56";"-9,67";"-9,43";"-8,32";"-13,01";"-15,63"
"12065356";"Zehdenick, Stadt";"Gemeinden";"-42,14";"-44,66";"-59,52";"-79,85";"-65,19";"-71,11";"-65,52";"-47,15"
"12066008";"Altdöbern";"Gemeinden";"-156,31";"-190,35";"-160,22";"-157,14";"-190,15";"-239,64";"-183,28";"-206,17"
"12066041";"Bronkow";"Gemeinden";"-30,15";"-63,25";"-75,17";"-64,94";"-28,71";"-21,70";"-18,52";"-4,35"
"12066052";"Calau/Kalawa, Stadt";"Gemeinden";"-45,37";"-37,98";"-39,12";"-44,19";"-39,13";"-35,33";"-36,97";"-34,57"
"12066064";"Frauendorf";"Gemeinden";"-132,09";"-124,44";"-111,63";"-107,64";"-117,93";"-124,09";"-158,27";"-176,72"
"12066104";"Großkmehlen";"Gemeinden";"-130,14";"-129,41";"-90,05";"-81,82";"-83,90";"-100,00";"-89,04";"-73,75"
"12066112";"Großräschen/Ran, Stadt";"Gemeinden";"-21,67";"-35,76";"-25,96";"-20,48";"-13,98";"-22,89";"-16,76";"-19,00"
"12066116";"Grünewald";"Gemeinden";"-3.228,57";"-4.440,00";"-3.666,67";"-3.314,29";"-3.816,67";;;
"12066120";"Guteborn";"Gemeinden";"-143,75";"-173,49";"-205,63";"-317,65";"-332,65";"-358,82";"-372,34";"-345,83"
"12066124";"Hermsdorf";"Gemeinden";"-213,49";"-322,68";"-612,96";"-507,58";"-667,31";"-657,41";"-507,81";"-514,75"
"12066132";"Hohenbocka";"Gemeinden";"-256,48";"-395,89";"-325,29";"-250,00";"-229,82";"-209,45";"-175,68";"-203,57"
"12066168";"Kroppen";"Gemeinden";"-363,77";"-691,43";"-929,63";"-1.234,78";"-1.217,39";"-735,14";"-578,00";"-693,02"
"12066176";"Lauchhammer, Stadt";"Gemeinden";"6,65";"-13,88";"-10,55";"-18,46";"-24,33";"-12,86";"-21,83";"-38,13"
"12066188";"Lindenau";"Gemeinden";"-813,51";"-833,33";"-508,33";"-283,13";"-225,25";"-452,73";"-188,50";"-187,72"
"12066196";"Lübbenau/Spreewald / Lubnjow/Blota, Stadt";"Gemeinden";"-25,72";"-11,17";"-3,67";"-15,54";"11,16";"18,94";"10,11";"8,78"
"12066202";"Luckaitztal";"Gemeinden";"-85,31";"-696,00";"-987,10";"-720,93";"-346,75";"-313,10";"-320,00";"-325,32"
"12066226";"Neu-Seeland/Nowa Jazorina";"Gemeinden";"-85,62";"-550,00";"-93,18";"-337,50";"-354,39";;;
"12066228";"Neupetershain/Nowe Wiki";"Gemeinden";"-72,59";"-149,48";"-238,89";"-203,45";"-203,45";"-221,01";"-289,15";"-352,25"
"12066240";"Ortrand, Stadt";"Gemeinden";"-33,07";"-12,99";"-9,10";"0,88";"1,57";"1,28";"4,82";"8,35"
"12066272";"Ruhland, Stadt";"Gemeinden";"-38,54";"-83,38";"-70,57";"-92,10";"-105,45";"-110,56";"-111,40";"-103,25"
"12066285";"Schipkau";"Gemeinden";"-145,15";"-125,00";"-172,70";"-148,16";"-134,02";"-134,66";"-132,11";"-135,78"
"12066292";"Schwarzbach";"Gemeinden";"-95,03";"-147,29";"-224,47";"-211,82";"-215,38";"-235,71";"-223,71";"-275,32"
"12066296";"Schwarzheide, Stadt";"Gemeinden";"35,53";"40,58";"45,57";"43,55";"43,35";"46,79";"51,13";"51,07"
"12066304";"Senftenberg/Zly Komorow, Stadt";"Gemeinden";"27,91";"25,21";"20,79";"24,76";"28,54";"32,68";"27,56";"26,92"
"12066316";"Tettau";"Gemeinden";"-493,85";"-488,68";"-585,42";"-530,36";"-434,92";"-350,00";"-404,76";"-652,38"
"12066320";"Vetschau/Spreewald / Wetošow/Blota, Stadt";"Gemeinden";"-68,60";"-52,98";"-38,18";"-22,71";"-19,66";"-20,92";"-15,93";"-19,39"
"12067024";"Bad Saarow";"Gemeinden";"22,09";"31,20";"29,38";"29,55";"26,71";"35,03";"29,55";"25,55"
"12067036";"Beeskow, Stadt";"Gemeinden";"33,47";"35,63";"37,63";"28,64";"35,40";"37,22";"40,68";"37,95"
"12067040";"Berkenbrück";"Gemeinden";"-264,52";"-189,83";"-272,73";"-423,61";"-736,73";"-846,67";"-926,67";"-1.040,48"
"12067072";"Briesen (Mark)";"Gemeinden";"-194,62";"-305,20";"-330,65";"-268,40";"-206,13";"-179,43";"-147,92";"-226,79"
"12067076";"Brieskow-Finkenheerd";"Gemeinden";"-62,48";"-103,54";"-169,30";"-171,81";"-217,36";"-165,64";"-181,93";"-151,52"
"12067112";"Diensdorf-Radlow";"Gemeinden";"-317,50";"-133,33";"0,00";"-506,45";"-284,91";"-321,57";"-232,81";"-244,26"
"12067120";"Eisenhüttenstadt, Stadt";"Gemeinden";"-3,33";"7,91";"16,23";"20,27";"23,99";"24,90";"28,14";"27,81"
"12067124";"Erkner, Stadt";"Gemeinden";"-156,97";"-133,54";"-128,83";"-129,58";"-100,36";"-69,86";"-59,55";"-64,32"
"12067137";"Friedland, Stadt";"Gemeinden";"-139,60";"-155,37";"-163,91";"-171,24";"-146,64";"-177,67";"-251,36";"-296,94"
"12067144";"Fürstenwalde/Spree, Stadt";"Gemeinden";"14,78";"14,53";"10,41";"13,24";"12,62";"14,18";"11,12";"6,96"
"12067173";"Gosen-Neu Zittau";"Gemeinden";"-43,48";"-62,59";"-86,30";"-112,15";"-112,62";"-81,49";"-55,40";"-82,73"
"12067180";"Groß Lindow";"Gemeinden";"-223,04";"-464,29";"-673,75";"-785,71";"-1.211,54";"-1.548,78";"-888,57";"-1.393,48"
"12067201";"Grünheide (Mark)";"Gemeinden";"-19,86";"-25,55";"39,31";"34,42";"-7,83";"-12,29";"21,21";"75,35"
"12067205";"Grunow-Dammendorf";"Gemeinden";"-53,24";"-157,69";"-121,98";"-584,38";"-534,38";"-538,71";"-361,90";"-297,96"
"12067237";"Jacobsdorf";"Gemeinden";"-105,10";"-72,41";"-83,01";"-85,64";"-95,38";"-52,58";"-30,79";"-36,81"
"12067288";"Langewahl";"Gemeinden";"-396,43";"-464,81";"-572,92";"-675,56";"-737,21";"-855,00";"-911,11";"-927,27"
"12067292";"Lawitz";"Gemeinden";"-502,56";"-970,83";"-1.034,78";"-1.004,00";"-592,86";"0,00";;
"12067324";"Mixdorf";"Gemeinden";"-325,00";"-485,07";"-621,43";"-734,00";"-618,18";"-819,51";"-682,61";"-908,57"
"12067336";"Müllrose, Stadt";"Gemeinden";"13,13";"-19,40";"-6,36";"-20,80";"-5,72";"-0,34";"-20,64";"-14,00"
"12067338";"Neißemünde";"Gemeinden";"-191,43";"-370,21";"-390,32";"-522,94";"-508,11";"-458,82";"-556,31";"-455,08"
"12067357";"Neuzelle";"Gemeinden";"-98,24";"-99,17";"-101,81";"-136,51";"-112,78";"-102,01";"-80,36";"-74,59"
"12067397";"Ragow-Merz";"Gemeinden";"-160,27";"-114,16";"-1.105,56";"-1.168,42";"-921,74";"0,00";"-397,73";"-400,00"
"12067408";"Rauen";"Gemeinden";"-475,45";"-433,60";"-430,08";"-754,12";"-1.025,35";"-584,43";"-300,48";"-375,00"
"12067413";"Reichenwalde";"Gemeinden";"-95,85";"-86,06";"-117,24";"-114,43";"-107,24";"-58,72";"-64,29";"-55,66"
"12067426";"Rietz-Neuendorf";"Gemeinden";"-90,06";"-133,38";"-162,07";"-134,67";"-175,59";"-190,80";"-216,33";"-197,04"
"12067438";"Schlaubetal";"Gemeinden";"-252,15";"-578,86";"-737,37";"-563,64";"-530,08";"-655,56";"-1.089,23";"-1.213,56"
"12067440";"Schöneiche bei Berlin";"Gemeinden";"-116,37";"-148,52";"-169,82";"-166,77";"-159,83";"-165,89";"-151,86";"-148,37"
"12067458";"Siehdichum";"Gemeinden";"-434,29";"-703,57";"-736,59";"-1.084,48";"-771,05";"-701,22";"-669,14";"-334,53"
"12067469";"Spreenhagen";"Gemeinden";"-15,54";"-63,90";"-88,82";"-128,70";"-109,54";"-79,83";"-60,09";"-72,29"
"12067473";"Steinhöfel";"Gemeinden";"-114,16";"-208,37";"-268,52";"-221,19";"-203,62";"-210,40";"-256,06";"-252,93"
"12067481";"Storkow (Mark), Stadt";"Gemeinden";"-51,67";"-59,29";"-61,02";"-55,64";"-41,62";"-27,79";"-25,63";"-12,57"
"12067493";"Tauche";"Gemeinden";"-47,63";"-112,39";"-116,67";"-101,97";"-117,89";"-127,98";"-150,09";"-155,54"
"12067508";"Vogelsang";"Gemeinden";"-203,96";"-283,56";"-366,18";"-379,71";"-444,44";"-1.031,03";;
"12067520";"Wendisch Rietz";"Gemeinden";"-100,00";"-66,41";"-61,79";"-55,41";"-46,28";"-31,68";"-6,96";"-31,91"
"12067528";"Wiesenau";"Gemeinden";"-74,73";"-106,94";"-115,32";"-123,77";"-149,33";"-103,44";"-74,26";"-69,51"
"12067544";"Woltersdorf";"Gemeinden";"-38,02";"-94,64";"-121,63";"-122,46";"-119,09";"-107,68";"-108,07";"-121,89"
"12067552";"Ziltendorf";"Gemeinden";"-155,60";"-458,04";"-672,37";"-485,09";"-483,90";"-505,45";"-408,94";"-305,30"
"12068052";"Breddin";"Gemeinden";"-130,43";"-185,07";"-265,52";"-219,42";"-166,96";"-181,65";"-273,49";"-329,17"
"12068072";"Dabergotz";"Gemeinden";"-213,04";"-143,56";"-138,10";"-153,21";"-155,75";"-133,06";"-211,46";"-153,91"
"12068109";"Dreetz";"Gemeinden";"-139,05";"-304,08";"-398,61";"-396,25";"-369,77";"-443,24";"-385,39";"-443,75"
"12068117";"Fehrbellin";"Gemeinden";"-48,45";"-63,98";"-83,37";"-66,49";"-64,12";"-75,83";"-72,12";"-97,52"
"12068181";"Heiligengrabe";"Gemeinden";"-18,95";"-1,19";"-9,53";"-15,42";"-7,61";"-0,11";"-1,30";"2,24"
"12068188";"Herzberg (Mark)";"Gemeinden";"-50,00";"-86,43";"-96,69";"-95,83";"-100,00";"-224,10";"-205,88";"-198,85"
"12068264";"Kyritz, Stadt";"Gemeinden";"17,99";"14,74";"7,05";"1,09";"6,36";"11,39";"6,05";"6,44"
"12068280";"Lindow (Mark), Stadt";"Gemeinden";"-161,77";"-35,29";"-25,48";"-25,74";"-29,43";"-39,49";"-36,54";"-34,09"
"12068306";"Märkisch Linden";"Gemeinden";"30,50";"19,35";"19,68";"11,39";"12,70";"14,98";"15,56";"17,17"
"12068320";"Neuruppin, Stadt";"Gemeinden";"16,61";"20,64";"23,63";"26,05";"20,81";"20,18";"19,47";"20,68"
"12068324";"Neustadt (Dosse), Stadt";"Gemeinden";"-8,43";"0,25";"-3,98";"0,72";"-16,46";"-13,45";"-4,12";"-10,19"
"12068353";"Rheinsberg, Stadt";"Gemeinden";"-16,13";"-16,80";"-33,48";"-36,01";"-33,73";"-32,28";"-34,35";"-35,26"
"12068372";"Rüthnick";"Gemeinden";"-351,52";"-496,30";"-2.616,67";"-1.035,71";"-358,33";;;
"12068409";"Sieversdorf-Hohenofen";"Gemeinden";"-195,10";"-248,00";"-225,32";"-266,22";"-241,03";"-181,19";"-243,37";"-246,91"
"12068413";"Storbeck-Frankendorf";"Gemeinden";"-443,75";"-355,81";"-481,25";"-550,00";"-1.005,26";;;
