Kennziffer;Raumeinheit;Aggregat;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"07315";"Mainz, kreisfreie Stadt";"Kreise";"18,38";"19,37";"19,09";"17,94";"16,80";"15,09";"17,92";"18,45";"19,35"
"07316";"Neustadt an der Weinstraße, kreisfreie Stadt";"Kreise";"5,51";"5,74";"6,01";"5,92";"5,85";"7,10";"10,63";"11,51";"12,75"
"07317";"Pirmasens, kreisfreie Stadt";"Kreise";"10,01";"8,78";"9,27";"9,90";"9,79";"6,15";"11,15";"13,19";"15,49"
"07318";"Speyer, kreisfreie Stadt";"Kreise";"10,03";"10,94";"11,66";"11,94";"10,80";"11,45";"14,87";"16,31";"17,32"
"07319";"Worms, kreisfreie Stadt";"Kreise";"9,79";"10,78";"11,99";"12,44";"12,60";"12,14";"16,48";"19,89";"21,61"
"07320";"Zweibrücken, kreisfreie Stadt";"Kreise";"4,57";"4,42";"4,73";"4,90";"4,76";"6,03";"9,74";"11,61";"12,59"
"07331";"Alzey-Worms";"Kreise";"6,13";"5,92";"5,87";"5,83";"5,76";"6,22";"9,05";"10,20";"11,06"
"07332";"Bad Dürkheim";"Kreise";"6,09";"6,09";"5,95";"6,00";"6,05";"6,15";"8,25";"8,75";"9,91"
"07333";"Donnersbergkreis";"Kreise";"5,83";"6,19";"5,87";"5,80";"5,39";"5,53";"7,38";"8,44";"9,44"
"07334";"Germersheim";"Kreise";"9,60";"9,96";"9,44";"9,13";"8,84";"9,24";"11,92";"12,96";"14,19"
"07335";"Kaiserslautern";"Kreise";"5,74";"5,65";"6,21";"6,31";"6,10";"5,58";"8,01";"10,17";"10,74"
"07336";"Kusel";"Kreise";"3,00";"3,35";"3,22";"3,22";"3,37";"3,60";"6,01";"7,00";"8,16"
"07337";"Südliche Weinstraße";"Kreise";"4,47";"4,50";"4,60";"4,48";"4,50";"4,70";"7,22";"8,23";"9,33"
"07338";"Rhein-Pfalz-Kreis";"Kreise";"6,88";"7,19";"7,06";"7,16";"7,43";"7,64";"9,86";"10,84";"11,70"
"07339";"Mainz-Bingen";"Kreise";"6,68";"6,55";"6,82";"6,79";"6,66";"6,92";"9,58";"10,91";"11,93"
"07340";"Südwestpfalz";"Kreise";"3,38";"3,21";"3,25";"3,19";"3,11";"2,67";"4,04";"4,76";"5,64"
"08111";"Stuttgart, Stadtkreis";"Kreise";"24,72";"24,48";"24,26";"23,66";"22,71";"22,11";"24,64";"25,34";"27,28"
"08115";"Böblingen";"Kreise";"16,51";"16,68";"15,95";"15,16";"14,40";"14,78";"17,99";"19,15";"20,47"
"08116";"Esslingen";"Kreise";"15,43";"15,16";"14,47";"14,00";"13,43";"13,93";"16,95";"17,98";"19,40"
"08117";"Göppingen";"Kreise";"15,04";"14,34";"13,50";"13,01";"12,80";"12,58";"15,90";"17,75";"19,31"
"08118";"Ludwigsburg";"Kreise";"16,61";"16,38";"15,60";"15,01";"14,52";"14,82";"17,51";"18,55";"20,03"
"08119";"Rems-Murr-Kreis";"Kreise";"13,93";"13,81";"13,51";"12,97";"12,55";"12,70";"15,56";"16,59";"17,94"
"08121";"Heilbronn, Stadtkreis";"Kreise";"19,83";"20,45";"20,25";"20,24";"19,86";"19,82";"24,58";"27,09";"29,92"
"08125";"Heilbronn";"Kreise";"11,38";"11,32";"10,73";"10,31";"10,15";"10,54";"13,91";"15,31";"16,78"
"08126";"Hohenlohekreis";"Kreise";"7,81";"7,25";"7,00";"6,74";"6,68";"6,95";"10,42";"12,21";"13,93"
